name,mean_abs_dB0,max_abs_dB0,mean_rel_dB0,dB0_r2,dB0_pears,dB0_std,mean_abs_B1,max_abs_B1,mean_rel_B1,B1_r2,B1_pears,B1_std,mean_abs_T1,max_abs_T1,mean_rel_T1,T1_r2,T1_pears,T1_std,mean_abs_T2,max_abs_T2,mean_rel_T2,T2_r2,T2_pears,T2_std,loss mean,loss std
2x256_sweep12_50epochs,0.0039574760012328625,1.9589399099349976,22.48035430908203,0.9986262526674102,0.9993129428102782,0.017285438254475594,0.008539925329387188,3.656604528427124,0.3076459765434265,0.9998233054401316,0.9999116566415428,0.02135235001333058,29.432958602905273,3038.109375,1.6359038352966309,0.9978097524415305,0.9989065472917916,59.54959988594055,0.0,0.0,0.0,0.0,0.0,0.0,-14.4140043258667,nan
3x128_sweep12_50epochs,0.00899052619934082,1.7638499736785889,30.01750946044922,0.9857038519670568,0.9928496191851037,0.05649362877011299,0.01622140035033226,4.605808258056641,0.5196894407272339,0.9987646932957632,0.9993847300810889,0.05860191537067294,35.87470626831055,2925.939453125,2.2311787605285645,0.9964829709322474,0.9982432869087156,76.14710927009583,0.0,0.0,0.0,0.0,0.0,0.0,-13.155829429626465,nan
6x128_sweep12_50epochs,0.004171216394752264,1.9481897354125977,27.841156005859375,0.9982879270144513,0.9991440345281877,0.019351769238710403,0.00894369650632143,3.6795804500579834,0.320654958486557,0.9997509033617747,0.9998754731461976,0.025798558490350842,30.89997100830078,3174.262451171875,1.7233848571777344,0.9975043408923795,0.9987540409988838,63.81946802139282,0.0,0.0,0.0,0.0,0.0,0.0,-14.230541229248047,nan
6x256_sweep12_50epochs,0.0037080137990415096,1.834155797958374,22.277446746826172,0.9989734412318254,0.9994866662613268,0.014873730018734932,0.008260915987193584,3.0774755477905273,0.29674220085144043,0.9998641762042717,0.9999323029209002,0.018392466008663177,28.784269332885742,3058.051513671875,1.5763659477233887,0.9979649929216445,0.9989857408332994,57.19417333602905,0.0,0.0,0.0,0.0,0.0,0.0,-14.548089027404785,nan
relu_sweep12_50epochs,0.005023816134780645,1.8639111518859863,31.83157730102539,0.9979822495383757,0.9989909552709783,0.0208954606205225,0.010756147094070911,3.569836378097534,0.3867199122905731,0.9996956144121929,0.9998480971752288,0.028201816021464765,35.11431884765625,3465.380126953125,2.132589101791382,0.9968194716388491,0.998432060644623,71.93364948034286,0.0,0.0,0.0,0.0,0.0,0.0,-13.653332710266113,nan
sigmoid_sweep12_50epochs,0.008816488087177277,1.7797497510910034,32.57484436035156,0.9854334231470677,0.9926999222004509,0.05706601217389107,0.016093172132968903,4.271282196044922,0.5171510577201843,0.9981380758186065,0.9990717111505416,0.07289593806490302,36.53582763671875,3235.611328125,2.370255470275879,0.996325904612685,0.9981713431258129,77.89053022861481,0.0,0.0,0.0,0.0,0.0,0.0,-13.000601768493652,nan
tanh_sweep12_50epochs,0.005879643373191357,1.8078984022140503,22.01438331604004,0.9920233642407659,0.9960048675597147,0.04232334718108177,0.011147640645503998,3.854510545730591,0.3944975435733795,0.9993297959137315,0.9996653168714074,0.04337828722782433,32.78524398803711,3909.976318359375,1.952398419380188,0.9969205627962808,0.9984816076593297,71.61659002304077,0.0,0.0,0.0,0.0,0.0,0.0,-13.702556610107422,nan
4x128_sweep12_50epochs,0.0056590610183775425,1.8595588207244873,26.543743133544922,0.9923468772493703,0.996167803082954,0.041469983756542206,0.010716474615037441,4.199571132659912,0.37331774830818176,0.9995843563321662,0.9997926496317806,0.03360347938723862,32.981536865234375,3150.0439453125,1.905383586883545,0.9970012771891967,0.9985026792754865,70.38053125143051,0.0,0.0,0.0,0.0,0.0,0.0,-13.838356971740723,nan
mse_sweep12_50epochs,0.007749936543405056,1.7457202672958374,62.167869567871094,0.9987938379729145,0.9994017666190499,0.01469783578068018,0.021297013387084007,2.998997926712036,0.7172423601150513,0.9996046701859794,0.9998027523590348,0.027012457139790058,38.39545822143555,2265.453369140625,2.8716888427734375,0.9973177238002792,0.9986596705922132,62.68554925918579,976.0645141601562,4766.40771484375,260.29278564453125,0.1315785165318064,0.36285895705644367,707.0856094360352,0.05831208825111389,nan
noPhysM_sweep12Ana_100epochs,0.004913092590868473,1.7861080169677734,21.378711700439453,0.9954746425330872,0.9977373963768573,0.03180733695626259,0.010306629352271557,3.428121566772461,0.3586171567440033,0.9996755932960255,0.9998395676587069,0.029406367102637887,33.49307632446289,3068.052734375,1.9217740297317505,0.9971886694699759,0.9986030056613395,67.39358603954315,997.9627685546875,6028.2421875,267.8057861328125,0.08240095154400218,0.2932632303338136,734.1697812080383,-13.906373023986816,nan
lr00000001_sweep12Ana_150epochs,0.0057788630947470665,1.8774113655090332,28.735368728637695,0.9903563800393791,0.9951724454641351,0.04662628099322319,0.010887418873608112,3.470027446746826,0.38582730293273926,0.9996220153608906,0.9998118748918241,0.031824298202991486,34.93946838378906,4919.32177734375,2.1123671531677246,0.996656255828957,0.9983304705431234,74.26649332046509,1026.3646240234375,4906.24072265625,163.71571350097656,-0.1858844302591829,0.18019176152903948,964.516282081604,-6.068575382232666,nan
lr0000001_sweep12Ana_100epochs,0.005722676403820515,1.8816286325454712,21.949033737182617,0.9903541621946148,0.9951720716909269,0.04663865268230438,0.010715490207076073,3.3574118614196777,0.3813996911048889,0.9996692252479777,0.9998354540357827,0.02958376659080386,34.763389587402344,3150.84033203125,2.1060945987701416,0.9967113570721492,0.9983581921666345,73.59876483678818,1025.0355224609375,4924.99169921875,164.66824340820312,-0.1795421441953009,0.1814039582989097,960.4214429855347,-6.370423793792725,nan
lr000001_sweep12Ana_100epochs,0.005875126458704472,1.9356937408447266,26.743167877197266,0.9873951601538731,0.9936951785924298,0.05339200049638748,0.010557647794485092,3.289792060852051,0.37928101420402527,0.9997396940150786,0.9998708830002837,0.025838756700977683,34.70600509643555,3437.357421875,2.058612823486328,0.9966790553533512,0.998340166306065,74.06645268201828,1012.4634399414062,7364.283203125,174.5617218017578,-0.12672579331735223,0.19980398871966593,927.1864891052246,-8.250917434692383,nan
